                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.05991,                0.23851,                0.86849,                0.95382,                0.91799,                0.96729,                0.96713,                0.09203,                0.23597,                0.28971,                0.00703,                0.00703,                0.00703
                     78,                0.05969,                0.24213,                0.86977,                0.89737,                0.97475,                0.96534,                0.96534,                0.08324,                0.19233,                0.27779,              0.0069904,              0.0069904,              0.0069904
                     79,                0.05931,                0.24523,                0.87038,                0.93777,                0.93799,                0.96954,                0.96954,                 0.0705,                0.16565,                 0.2646,              0.0069508,              0.0069508,              0.0069508
                     80,                0.05784,                 0.2404,                0.87034,                0.96586,                0.91016,                0.96586,                0.96586,                0.07433,                0.18915,                0.26956,              0.0069112,              0.0069112,              0.0069112
                     81,                0.06001,                0.24249,                0.86995,                0.90028,                0.96633,                0.96163,                0.96163,                 0.0866,                0.21483,                0.28608,              0.0068716,              0.0068716,              0.0068716
                     82,                 0.0582,                 0.2389,                0.86729,                0.91526,                0.94896,                0.96369,                0.96369,                0.08632,                0.21056,                0.28263,               0.006832,               0.006832,               0.006832
                     83,                0.05888,                  0.239,                0.86895,                0.92176,                0.95825,                0.96582,                0.96582,                0.08359,                0.17731,                0.27956,              0.0067924,              0.0067924,              0.0067924
                     84,                0.05679,                0.23821,                0.86954,                0.93674,                0.95345,                0.97312,                0.97312,                0.08361,                0.14914,                0.27855,              0.0067528,              0.0067528,              0.0067528
                     85,                0.05721,                0.23678,                0.86922,                0.92003,                0.96525,                0.97044,                0.97044,                0.07628,                 0.1469,                0.27052,              0.0067132,              0.0067132,              0.0067132
                     86,                0.05722,                0.23204,                0.86965,                0.94886,                0.93371,                 0.9738,                0.97313,                0.08259,                0.19033,                0.27663,              0.0066736,              0.0066736,              0.0066736
                     87,                0.05813,                0.23528,                0.86833,                 0.9383,                0.93016,                0.96788,                0.96784,                 0.0855,                0.21257,                0.28142,               0.006634,               0.006634,               0.006634
                     88,                0.05586,                0.23291,                0.86962,                0.97064,                0.90959,                0.96596,                0.96582,                0.08611,                0.21465,                0.28703,              0.0065944,              0.0065944,              0.0065944
                     89,                0.05773,                0.23426,                0.86876,                0.96152,                0.92208,                0.96612,                0.96606,                0.08801,                0.21281,                0.28716,              0.0065548,              0.0065548,              0.0065548
                     90,                0.05691,                0.23056,                0.86939,                0.97978,                0.92143,                 0.9698,                0.96942,                0.08928,                 0.2013,                0.28677,              0.0065152,              0.0065152,              0.0065152
                     91,                0.05588,                0.22526,                0.87133,                0.95941,                0.93046,                0.97181,                0.97139,                0.09117,                0.20663,                0.28754,              0.0064756,              0.0064756,              0.0064756
                     92,                0.05587,                0.22421,                0.86936,                0.95576,                0.92761,                0.96946,                0.96946,                0.08857,                0.20375,                0.28265,               0.006436,               0.006436,               0.006436
                     93,                0.05417,                0.21548,                0.86811,                0.94465,                0.93764,                0.96891,                0.96768,                0.08252,                0.19064,                0.27527,              0.0063964,              0.0063964,              0.0063964
                     94,                0.05473,                0.22649,                0.86911,                0.95903,                0.93006,                0.97536,                0.97279,                  0.082,                0.17909,                0.27413,              0.0063568,              0.0063568,              0.0063568
                     95,                0.05509,                0.21565,                0.87047,                0.95852,                0.94673,                0.97859,                0.97746,                0.07983,                0.16919,                0.27131,              0.0063172,              0.0063172,              0.0063172
                     96,                0.05477,                0.22313,                0.87139,                0.97357,                0.93059,                0.97704,                0.97704,                0.08476,                0.20067,                 0.2776,              0.0062776,              0.0062776,              0.0062776
                     97,                0.05475,                0.22607,                 0.8685,                0.96867,                0.92497,                0.97575,                0.97575,                0.08694,                0.21114,                0.28167,               0.006238,               0.006238,               0.006238
                     98,                0.05321,                0.21817,                 0.8683,                0.95931,                0.95142,                0.97504,                0.97504,                 0.0878,                0.22237,                0.28328,              0.0061984,              0.0061984,              0.0061984
